random seed = 1234
reference_energy=-2.175229378236791 hartree
stage=1 learning_rate=5e-03 epoch=1 rel_error=9.110883245547e-01 num_params=34260
stage=1 learning_rate=5e-03 epoch=3300 rel_error=2.872152204258e-03 best_rel_error=2.87e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3400 rel_error=2.799567603535e-03 best_rel_error=2.80e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3500 rel_error=2.655871175445e-03 best_rel_error=2.66e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3600 rel_error=2.571371152495e-03 best_rel_error=2.57e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3700 rel_error=2.484600419154e-03 best_rel_error=2.48e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3800 rel_error=2.397538120524e-03 best_rel_error=2.40e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3900 rel_error=2.320815269116e-03 best_rel_error=2.32e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4000 rel_error=2.237155872115e-03 best_rel_error=2.24e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4100 rel_error=2.158841482611e-03 best_rel_error=2.16e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4200 rel_error=2.097641692582e-03 best_rel_error=2.10e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4300 rel_error=2.014344882887e-03 best_rel_error=2.01e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4400 rel_error=1.953902359458e-03 best_rel_error=1.95e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4500 rel_error=1.906716426137e-03 best_rel_error=1.90e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4600 rel_error=1.822737989909e-03 best_rel_error=1.82e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4700 rel_error=1.748332474601e-03 best_rel_error=1.75e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4800 rel_error=1.636643347107e-03 best_rel_error=1.64e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=4900 rel_error=1.550690659858e-03 best_rel_error=1.55e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5000 rel_error=2.269956032891e-03 best_rel_error=1.46e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5100 rel_error=1.391377329571e-03 best_rel_error=1.38e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5200 rel_error=1.306779966919e-03 best_rel_error=1.30e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5300 rel_error=1.482321164404e-03 best_rel_error=1.22e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5400 rel_error=1.173950143002e-03 best_rel_error=1.17e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5500 rel_error=1.131876804197e-03 best_rel_error=1.13e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5600 rel_error=1.235402420706e-03 best_rel_error=1.10e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5700 rel_error=1.088983149782e-03 best_rel_error=1.09e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5800 rel_error=1.182400021710e-03 best_rel_error=1.05e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=5900 rel_error=1.017996614570e-03 best_rel_error=1.02e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=6000 rel_error=1.010259320478e-03 best_rel_error=1.01e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=6100 rel_error=9.869577393744e-04 best_rel_error=9.68e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6200 rel_error=9.877661728780e-04 best_rel_error=9.49e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6300 rel_error=9.694091855109e-04 best_rel_error=9.12e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6400 rel_error=8.819870357284e-04 best_rel_error=8.82e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6500 rel_error=8.932693559610e-04 best_rel_error=8.78e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6600 rel_error=8.414711080788e-04 best_rel_error=8.41e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6700 rel_error=8.108800646577e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6800 rel_error=8.891421479772e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=6900 rel_error=1.787584187352e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7000 rel_error=1.532594164774e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7100 rel_error=1.426106146518e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7200 rel_error=1.409894897649e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7300 rel_error=1.314035126297e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7400 rel_error=1.263048802159e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7500 rel_error=1.223417132410e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7600 rel_error=1.255639675263e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7700 rel_error=1.141504574276e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7800 rel_error=1.043421225742e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=7900 rel_error=9.563978506367e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8000 rel_error=8.774169980041e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8100 rel_error=9.024207208075e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8200 rel_error=8.473816668807e-04 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8300 rel_error=1.071340947098e-03 best_rel_error=7.96e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8400 rel_error=1.209056454337e-03 best_rel_error=7.95e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8500 rel_error=9.041817721383e-04 best_rel_error=7.78e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8600 rel_error=8.081220200741e-04 best_rel_error=7.60e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8700 rel_error=7.520723010300e-04 best_rel_error=7.49e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8800 rel_error=8.141955916212e-04 best_rel_error=7.27e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=8900 rel_error=8.000411339447e-04 best_rel_error=7.16e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9000 rel_error=7.202951818528e-04 best_rel_error=7.04e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9100 rel_error=6.862037272639e-04 best_rel_error=6.86e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9200 rel_error=7.058714097859e-04 best_rel_error=6.72e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9300 rel_error=6.462088838041e-04 best_rel_error=6.46e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9400 rel_error=6.302867662920e-04 best_rel_error=6.30e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9500 rel_error=6.182474491606e-04 best_rel_error=6.17e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9600 rel_error=6.038052475339e-04 best_rel_error=6.04e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9700 rel_error=5.919846070276e-04 best_rel_error=5.92e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9800 rel_error=6.372827724329e-04 best_rel_error=5.90e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=9900 rel_error=5.692496105568e-04 best_rel_error=5.69e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10000 rel_error=5.573904530090e-04 best_rel_error=5.53e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10100 rel_error=5.061702942981e-04 best_rel_error=5.06e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10200 rel_error=4.417792260077e-04 best_rel_error=4.42e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10300 rel_error=4.074286707213e-04 best_rel_error=4.07e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10400 rel_error=3.941945746113e-04 best_rel_error=3.93e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10500 rel_error=3.943747361162e-04 best_rel_error=3.85e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10600 rel_error=4.060069718222e-04 best_rel_error=3.79e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10700 rel_error=4.160633357453e-04 best_rel_error=3.74e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10800 rel_error=4.045508738183e-04 best_rel_error=3.57e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=10900 rel_error=3.723374507101e-04 best_rel_error=3.56e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11000 rel_error=3.872122583060e-04 best_rel_error=3.54e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11100 rel_error=4.504639688089e-04 best_rel_error=3.34e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11200 rel_error=3.706842686294e-04 best_rel_error=3.27e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11300 rel_error=4.509336037979e-04 best_rel_error=3.27e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11400 rel_error=4.702028382071e-04 best_rel_error=3.14e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11500 rel_error=3.956909200492e-04 best_rel_error=3.09e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11600 rel_error=3.496622988393e-04 best_rel_error=3.05e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11700 rel_error=3.345287951591e-04 best_rel_error=3.05e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11800 rel_error=2.665030186012e-04 best_rel_error=2.30e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=11900 rel_error=2.254611425533e-04 best_rel_error=2.19e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12000 rel_error=2.107640396266e-04 best_rel_error=2.11e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12100 rel_error=2.351944734097e-04 best_rel_error=2.07e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12200 rel_error=2.011789506428e-04 best_rel_error=2.01e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12300 rel_error=3.024030056174e-04 best_rel_error=1.97e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12400 rel_error=1.919222657877e-04 best_rel_error=1.92e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12500 rel_error=1.920059384221e-04 best_rel_error=1.91e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12600 rel_error=1.816744098241e-04 best_rel_error=1.76e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12700 rel_error=1.517831067229e-04 best_rel_error=1.52e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12800 rel_error=1.587289761931e-04 best_rel_error=1.52e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=12900 rel_error=2.676211091282e-04 best_rel_error=1.43e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13000 rel_error=1.818941968157e-04 best_rel_error=1.39e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13100 rel_error=1.625982570734e-04 best_rel_error=1.39e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13200 rel_error=1.358565922517e-04 best_rel_error=1.36e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13300 rel_error=1.252065265048e-04 best_rel_error=1.25e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13400 rel_error=2.489361272059e-04 best_rel_error=1.25e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13500 rel_error=1.148222637385e-04 best_rel_error=1.15e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13600 rel_error=1.164604632120e-04 best_rel_error=1.13e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13700 rel_error=2.155473170160e-04 best_rel_error=1.13e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13800 rel_error=1.300212626432e-04 best_rel_error=1.01e-04 num_params=34260
stage=1 learning_rate=5e-03 epoch=13900 rel_error=9.446994721104e-05 best_rel_error=9.45e-05 num_params=34260
stage=1 learning_rate=5e-03 epoch=14000 rel_error=1.191291220170e-04 best_rel_error=9.40e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1 rel_error=9.376068845867e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=100 rel_error=9.019840602934e-05 best_rel_error=9.02e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=200 rel_error=8.960387937436e-05 best_rel_error=8.96e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=300 rel_error=8.894811104980e-05 best_rel_error=8.89e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=400 rel_error=8.825047982931e-05 best_rel_error=8.83e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=500 rel_error=8.752220510816e-05 best_rel_error=8.75e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=600 rel_error=8.677147011461e-05 best_rel_error=8.68e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=700 rel_error=8.600479029251e-05 best_rel_error=8.60e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=800 rel_error=8.522734896040e-05 best_rel_error=8.52e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=900 rel_error=8.444299789420e-05 best_rel_error=8.44e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1000 rel_error=8.365414519821e-05 best_rel_error=8.37e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1100 rel_error=8.286156785942e-05 best_rel_error=8.29e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1200 rel_error=8.206406345006e-05 best_rel_error=8.21e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1300 rel_error=8.125775945243e-05 best_rel_error=8.13e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1400 rel_error=8.043512902092e-05 best_rel_error=8.04e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1500 rel_error=7.958581329459e-05 best_rel_error=7.96e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1600 rel_error=7.870547903716e-05 best_rel_error=7.87e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1700 rel_error=7.780673491432e-05 best_rel_error=7.78e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1800 rel_error=7.690549290569e-05 best_rel_error=7.69e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=1900 rel_error=7.599988086285e-05 best_rel_error=7.60e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2000 rel_error=7.507555901549e-05 best_rel_error=7.51e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2100 rel_error=7.410781770727e-05 best_rel_error=7.41e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2200 rel_error=7.305858416261e-05 best_rel_error=7.31e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2300 rel_error=7.192373290666e-05 best_rel_error=7.19e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2400 rel_error=7.077595646428e-05 best_rel_error=7.08e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2500 rel_error=6.967347393735e-05 best_rel_error=6.97e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2600 rel_error=6.861083587976e-05 best_rel_error=6.86e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2700 rel_error=6.756584365398e-05 best_rel_error=6.76e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2800 rel_error=6.652302170544e-05 best_rel_error=6.65e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=2900 rel_error=6.547903239256e-05 best_rel_error=6.55e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3000 rel_error=6.443909957647e-05 best_rel_error=6.44e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3100 rel_error=6.341101357019e-05 best_rel_error=6.34e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3200 rel_error=6.240451558989e-05 best_rel_error=6.24e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3300 rel_error=6.142193384123e-05 best_rel_error=6.14e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3400 rel_error=6.046343047357e-05 best_rel_error=6.05e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3500 rel_error=5.952509599368e-05 best_rel_error=5.95e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3600 rel_error=5.860478980348e-05 best_rel_error=5.86e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3700 rel_error=5.769978259209e-05 best_rel_error=5.77e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3800 rel_error=5.680789029552e-05 best_rel_error=5.68e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=3900 rel_error=5.592879190522e-05 best_rel_error=5.59e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4000 rel_error=5.505861396478e-05 best_rel_error=5.51e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4100 rel_error=5.419684406502e-05 best_rel_error=5.42e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4200 rel_error=5.334117196368e-05 best_rel_error=5.33e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4300 rel_error=5.249202727940e-05 best_rel_error=5.25e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4400 rel_error=5.164751460414e-05 best_rel_error=5.16e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4500 rel_error=5.080527427604e-05 best_rel_error=5.08e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4600 rel_error=4.996462549567e-05 best_rel_error=5.00e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4700 rel_error=4.912439420109e-05 best_rel_error=4.91e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4800 rel_error=4.828288700106e-05 best_rel_error=4.83e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=4900 rel_error=4.744025291517e-05 best_rel_error=4.74e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5000 rel_error=4.659568560554e-05 best_rel_error=4.66e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5100 rel_error=4.575055215004e-05 best_rel_error=4.58e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5200 rel_error=4.490257935016e-05 best_rel_error=4.49e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5300 rel_error=4.405077723577e-05 best_rel_error=4.41e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5400 rel_error=4.319688248663e-05 best_rel_error=4.32e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5500 rel_error=4.233954596520e-05 best_rel_error=4.23e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5600 rel_error=4.147863564105e-05 best_rel_error=4.15e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5700 rel_error=4.061287625630e-05 best_rel_error=4.06e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5800 rel_error=3.974222062977e-05 best_rel_error=3.97e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=5900 rel_error=3.886771787354e-05 best_rel_error=3.89e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6000 rel_error=3.798744134428e-05 best_rel_error=3.80e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6100 rel_error=3.709917374525e-05 best_rel_error=3.71e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6200 rel_error=3.620446040763e-05 best_rel_error=3.62e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6300 rel_error=3.530183108830e-05 best_rel_error=3.53e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6400 rel_error=3.439233107387e-05 best_rel_error=3.44e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6500 rel_error=3.347365610020e-05 best_rel_error=3.35e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6600 rel_error=3.254565410371e-05 best_rel_error=3.25e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6700 rel_error=3.160477486736e-05 best_rel_error=3.16e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6800 rel_error=3.064683257696e-05 best_rel_error=3.06e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=6900 rel_error=2.966241869882e-05 best_rel_error=2.97e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7000 rel_error=2.863506303528e-05 best_rel_error=2.86e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7100 rel_error=2.753734349577e-05 best_rel_error=2.75e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7200 rel_error=2.631400469059e-05 best_rel_error=2.63e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7300 rel_error=2.488811347177e-05 best_rel_error=2.49e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7400 rel_error=2.323177062918e-05 best_rel_error=2.32e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7500 rel_error=2.148712546958e-05 best_rel_error=2.15e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7600 rel_error=1.977054520958e-05 best_rel_error=1.98e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7700 rel_error=1.812983220494e-05 best_rel_error=1.81e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7800 rel_error=1.658099360655e-05 best_rel_error=1.66e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=7900 rel_error=1.511656640206e-05 best_rel_error=1.51e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=8000 rel_error=1.372256382364e-05 best_rel_error=1.37e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=8100 rel_error=1.238162159216e-05 best_rel_error=1.24e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=8200 rel_error=1.108296554170e-05 best_rel_error=1.11e-05 num_params=34260
stage=2 learning_rate=1e-05 epoch=8300 rel_error=9.819040855635e-06 best_rel_error=9.82e-06 num_params=34260
stage=2 learning_rate=1e-05 epoch=8400 rel_error=8.582338331035e-06 best_rel_error=8.58e-06 num_params=34260
stage=2 learning_rate=1e-05 epoch=8500 rel_error=7.371135575477e-06 best_rel_error=7.37e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=1 rel_error=7.359136891742e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=100 rel_error=7.294791396341e-06 best_rel_error=7.29e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=200 rel_error=7.227157638492e-06 best_rel_error=7.23e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=300 rel_error=7.158883516204e-06 best_rel_error=7.16e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=400 rel_error=7.090404704262e-06 best_rel_error=7.09e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=500 rel_error=7.021876754487e-06 best_rel_error=7.02e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=600 rel_error=6.953370804511e-06 best_rel_error=6.95e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=700 rel_error=6.884923286634e-06 best_rel_error=6.88e-06 num_params=34260
stage=3 learning_rate=5e-07 epoch=800 rel_error=6.816553860602e-06 best_rel_error=6.82e-06 num_params=34260
